amplitude damping_time frequency phase psi t0
1.6288489228642478e-22 0.16500033536948966 1402.9484567471857 1.1203915368486226 1.098796231627108 1165577779.16822
1.646154298770506e-22 0.49445096316654324 1301.9264488333197 -1.281419665045361 1.2220510973412886 1165577779.5135105
3.74665481248825e-22 0.47121461042949714 1306.7572317933495 0.1552342168064802 0.900678284773508 1165577778.344645
1.4739540850499337e-22 0.2848588720048332 1351.971088658361 -1.4638318339345435 1.5026975797311186 1165577779.909228
7.038258192536755e-22 0.39619011211256655 1457.0577538901748 0.16729620706008141 1.5074568887197717 1165577779.719689
3.1444270313228723e-22 0.19274820862173847 1400.6853879226242 0.649191375650036 0.08783612150106591 1165577779.7806768
3.1571269884721467e-22 0.19194334325692242 1371.7338067395667 -1.2959003393122284 0.18977168542426057 1165577779.4712372
6.869064947114313e-22 0.2663867299390516 1471.6824544255267 1.3589278187910567 1.250865954357911 1165577779.4141135
1.885516042339938e-22 0.1086446104718093 1324.5605053135532 -0.1278356706383068 1.114577209428954 1165577779.194396
5.725965316877734e-23 0.3502142336796277 1433.9339952722783 -0.6970343256779644 0.8771474416373766 1165577779.3236864
4.554491118106247e-22 0.4557062514221842 1414.471044416907 0.926251952447136 0.5603566138786473 1165577778.6533487
1.1632551372929786e-22 0.24531314796521553 1440.3403399330532 -0.4353051385238771 0.887361054115707 1165577779.1650314
5.2708549906015256e-23 0.4620342221859959 1366.8191270427121 0.689107891732534 0.8082543816109486 1165577779.8043022
9.06158462682335e-23 0.4234671730363562 1324.0235735975455 1.4521639242930142 1.5500486632756396 1165577778.9918926
3.6260755402056346e-22 0.485657485310557 1437.6130724688846 -1.0941107102530814 0.9814319430748325 1165577778.2822032
4.399393924649321e-22 0.3438123383417447 1289.9170588010136 -1.2227067652962467 0.6644373994531335 1165577778.4716556
1.288946453452606e-22 0.3029831529712056 1297.5427601800818 0.12134416418620142 0.933171662249492 1165577778.7939405
6.004580205326584e-22 0.3181183053489606 1392.906948228741 0.739047351179106 1.1208505634689698 1165577778.4482055
9.276648070786509e-23 0.3172909880461202 1434.5285637362063 -0.4212327709084309 0.8689211959571841 1165577778.6843865
6.059054310794462e-22 0.07028517269328242 1454.430145432798 0.6193762199089798 0.8074342623109737 1165577779.2998948
3.356682859191529e-22 0.0613371769190422 1423.7374764786837 1.3905523519195166 1.3809476051339593 1165577779.22939
8.088519609829412e-22 0.1842985832450701 1388.5113388939255 -0.8707575372341447 0.2522677916390189 1165577779.915169
6.081307847008071e-23 0.4414880892998393 1329.6533819971269 0.17322253734807092 0.8601701105758799 1165577779.871012
3.6859836651512717e-23 0.2507329856838284 1341.3393712990799 -1.0489495113730247 1.1146776090586452 1165577779.3497348
8.336028277573364e-22 0.19589909078480539 1444.8385079069635 -0.0173793139347469 1.1970080465309203 1165577778.7486804
1.438620958407524e-22 0.1232250898889895 1458.6159524194995 -0.7267359154433681 1.0682684191356149 1165577779.7260418
6.311694071488342e-23 0.10021944527777421 1301.2913009405754 -1.3136797937880589 1.2733510264143335 1165577779.2246943
3.2200977339041363e-22 0.4760497482016005 1324.6088760712037 0.31346183494984436 1.329480529119881 1165577778.1218877
5.311819933721082e-23 0.36747938266793556 1435.7775224547122 0.13656021929947237 0.9328229692184696 1165577779.6163108
4.44999631672692e-22 0.33961715278935073 1345.5762573123166 0.0477957290584734 1.079582832759912 1165577778.223277
3.35328989122233e-22 0.16838350513282854 1385.6107208690673 -1.475858794460726 1.2411435282451155 1165577778.674584
3.4062371604713958e-22 0.181232933395233 1313.9270528281513 -0.8599493519514299 0.5568781494053694 1165577779.8544545
6.95108464312176e-23 0.47129043651043784 1347.314037017006 -0.8551240034393577 0.04943104008733626 1165577779.0683892
4.900892418043193e-23 0.2859402108063737 1425.992677442822 -1.1742003175051614 0.7101102179507282 1165577779.5632236
3.8723970372780047e-23 0.3473701300000217 1356.4004989601024 1.3570779965874764 0.8829207239008516 1165577779.817075
1.1356906348684424e-22 0.46541105830501683 1309.8911669542636 0.24378208832197346 0.18989363433407927 1165577779.4722319
1.887585524198303e-22 0.2368609713141402 1467.9926297514069 1.2169085316983752 1.2022766677834522 1165577779.3734927
5.957852948538169e-22 0.20008028635460812 1287.8905935381722 0.8690261011323792 0.4568125357320967 1165577779.6619508
8.787932255492282e-23 0.4236912629244266 1346.7893822749936 -0.9633454949361542 0.023254701134596094 1165577779.1845248
2.096002569938441e-22 0.1600223779725659 1337.1394278334471 0.25922331744388694 0.9722587450909227 1165577778.9541852
2.1711350733059985e-22 0.4017617296547135 1317.99074618767 -0.6445536026172997 0.08638160753042022 1165577779.0808935
1.3467595262460156e-22 0.05137290900358785 1328.522960380548 1.3431139587424323 0.548439058673155 1165577779.6518352
1.2638907827703452e-22 0.4335600217565016 1394.6166375040448 0.07565494807062811 1.535561125544269 1165577778.8801756
3.993296295275317e-22 0.485434534476545 1438.9437195592745 0.09994208663854387 1.4664874299716661 1165577778.1107419
4.097486570901658e-23 0.38235969792846297 1413.086832489395 1.2368164057125788 0.9124767261759893 1165577779.839871
8.93206394370177e-23 0.2293487339002947 1307.936686298858 -1.1899930942682069 1.391982531068204 1165577778.7603753
5.309466374360859e-22 0.26360095823604296 1415.489436187107 -1.4369418970531296 0.5444604844462905 1165577778.5883617
1.4510885624437453e-22 0.29573479236758726 1444.3771202913547 0.8523181836802389 1.1594356211208043 1165577778.392678
1.5315838232730537e-22 0.34758088155152533 1469.9691624905222 0.7401009572962716 1.159297120541267 1165577779.4476
5.416566731614252e-23 0.20823045771134113 1404.4833694123097 -0.06945652920799006 1.210859085445811 1165577779.1284015
1.1618792391689415e-22 0.11072078986099382 1319.2888104370038 0.9594339366585904 1.4398549637318607 1165577778.9952443
2.989167435323735e-23 0.23310824345092007 1359.4233034812223 0.3734051729035164 1.3138909628634199 1165577779.1273108
